,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,ø,que,ø,que,que,que,ø,que,4,glose,Non, Non,,0,1,0,1,1,1,0,1
,en,en,ø,en,en,en,en,en,4,glose,Non, Non,,1,1,0,1,1,1,1,1
,el,el,ø,el,el,ø,el,ø,4,glose,Non, Non,,1,1,0,1,1,0,1,0
,con,con,ø,con,con,con,con,con,4,glose,Non, Non,,1,1,0,1,1,1,1,1
,ø,muy,ø,ø,muy,muy,ø,muy,4,glose,Non, Non,,0,1,0,0,1,1,0,1
,que,ø,que,que,que,que,que,que,4,glose,Non, Non,,1,0,1,1,1,1,1,1
,ø,ø,todos,ø,ø,ø,ø,ø,4,glose,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,ø,ø,ø,se,ø,4,glose,Non, Non,,0,0,0,0,0,0,2,0
,le,ø,le,le,ø,le,le,le,4,glose,Non, Non,,2,0,2,2,0,2,2,2
,ø,ø,ø,ø,ø,desbaratados,ø,ø,4,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,de,ø,de,de,de,ø,de,4,glose,Non, Non,,0,1,0,1,1,1,0,1
,fe,fe,fe,fe,fe,ø,fe,fe,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,otros,otros,otros,otros,otros,ø,otros,otros,4,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ø,los,ø,ø,5,,Non, Non,,0,0,0,0,0,2,0,0
,ø,o,ø,ø,ø,o,ø,ø,5,,Non, Non,,0,2,0,0,0,2,0,0
,los,ø,los,los,los,los,los,ø,5,,Non, Non,,1,0,1,1,1,1,1,0
,los,ø,ø,ø,ø,ø,los,ø,5,,Non, Non,,2,0,0,0,0,0,2,0
,ø,ø,ø,ø,los,ø,ø,ø,5,,Non, Non,,0,0,0,0,1,0,0,0
,ø,que,ø,ø,que,que,ø,ø,5,traduction,Non, Non,,0,1,0,0,1,1,0,0
,ø,los,ø,ø,ø,los,ø,ø,5,traduction,Non, Non,,0,2,0,0,0,2,0,0
,ø,ø,ø,ø,ø,lidiadores,ø,ø,5,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,ay,ø,ø,5,traduction,Non, Non,,0,0,0,0,0,2,0,0
,se,ø,se,se,se,ø,se,ø,5,traduction,Non, Non,,1,0,1,1,1,0,1,0
,ø,mejor,mejor,ø,ø,mejor,ø,ø,5,traduction,Non, Non,,0,2,2,0,0,2,0,0
,por,por,ø,ø,ø,ø,ø,ø,5,traduction,Non, Non,,2,2,0,0,0,0,0,0
,ø,ø,ø,ø,ø,ø,que,ø,5,traduction,Non, Non,,0,0,0,0,0,0,2,0
,mal,ø,mal,mal,mal,mal,mal,ø,5,traduction,Non, Non,,1,0,1,1,1,1,1,0
,ø,del,ø,ø,del,del,ø,ø,5,traduction,Non, Non,,0,1,0,0,1,1,0,0
,recelan,ø,reçelan,reçelan,ø,temen,recelan,ø,5,traduction,Non, Non,,1,0,1,1,0,3,1,0
,las,las,las,las,las,ø,las,ø,5,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,mientes,ø,ø,mientes,mientes,ø,ø,5,traduction,Non, Non,,0,1,0,0,1,1,0,0
,ø,ø,Palomades,ø,ø,ø,ø,ø,5,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,los,ø,ø,ø,ø,ø,ø,5,traduction,Non, Non,,0,2,0,0,0,0,0,0
,ø,ø,ø,ø,tres,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ninguna,ninguna,ninguna,ninguna,ninguna,ø,ninguna,ø,5,traduction,Non, Non,,1,1,1,1,1,0,1,0
,de,de,de,de,ø,de,de,ø,5,traduction,Non, Non,,2,2,2,2,0,2,2,0
,ø,muy,ø,muy,muy,muy,ø,ø,5,traduction,Non, Non,,0,1,0,1,1,1,0,0
,terçero,ø,ø,ø,ø,libro,ø,ø,5,traduction,Non, Non,,3,0,0,0,0,1,0,0
,ø,Polídamos,ø,ø,ø,Palomades,palomedes,ø,5,traduction,Non, Non,,0,3,0,0,0,2,4,0
,muy,muy,ø,ø,muy,ø,muy,ø,5,traduction,Non, Non,,1,1,0,0,1,0,1,0
,a,a,a,a,ø,a,a,ø,5,traduction,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,ø,más,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,más,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,ø,a,ø,ø,5,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,arte,ø,ø,ø,ø,5,traduction,Non, Non,,0,0,0,2,0,0,0,0
,ø,ø,ø,ø,ø,de,ø,ø,5,traduction,Non, Non,,0,0,0,0,0,2,0,0
,los,los,los,los,los,los,ø,ø,5,traduction,Non, Non,,1,1,1,1,1,1,0,0
,para,para,ø,para,para,para,para,ø,5,traduction,Non, Non,,1,1,0,1,1,1,1,0
,ø,ø,ø,ø,ay,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,de,de,de,de,ø,de,de,ø,5,traduction,Non, Non,,2,2,2,2,0,2,2,0
,aquella,la,aquella,ø,la,la,aquella,ø,5,traduction,Non, Non,,2,1,2,0,1,1,2,0
,ø,ø,ø,ø,ø,se,ø,ø,5,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,sofryr,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,se,ø,ø,ø,ø,5,traduction,Non, Non,,0,0,0,2,0,0,0,0
,ø,ø,ø,ø,a,ø,ø,ø,5,traduction,Non, Non,,0,0,0,0,1,0,0,0
,e,ø,e,e,ø,e,e,ø,5,traduction,Non, Non,,2,0,2,2,0,2,2,0
,cosas,ø,cosas,cosas,cosas,cosas,cosas,ø,5,traduction,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,ø,ø,ø,de,ø,ø,5,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,de,ø,ø,ø,ø,ø,5,glose,Non, Non,,0,0,2,0,0,0,0,0
,a,a,a,a,a,a,ø,ø,5,glose,Non, Non,,1,1,1,1,1,1,0,0
,ø,demandava,,demandaua,demandava,demandava,demandaua,ø,5,glose,Non, Non,,0,3,1,3,3,3,3,0
,ø,ø,ø,se,ø,no,ø,ø,5,glose,Non, Non,,0,0,0,3,0,1,0,0
,ø,ø,ø,ø,un,ø,ø,ø,5,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,en,ø,ø,en,ø,ø,ø,5,glose,Non, Non,,0,1,0,0,1,0,0,0
,le,ø,le,le,le,le,le,ø,5,glose,Non, Non,,1,0,1,1,1,1,1,0
,le,ø,le,le,le,le,le,ø,5,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,la,la,la,ø,la,la,ø,5,glose,Non, Non,,0,2,2,2,0,2,2,0
,en,en,ø,ø,en,en,en,ø,5,glose,Non, Non,,1,1,0,0,1,1,1,0
,ø,en,ø,ø,en,ø,ø,ø,5,glose,Non, Non,,0,1,0,0,1,0,0,0
,le,ø,le,le,le,le,le,ø,5,glose,Non, Non,,1,0,1,1,1,1,1,0
,la,ø,la,la,su,la,la,ø,5,glose,Non, Non,,1,0,1,1,2,1,1,0
,ø,mill,mill,mill,mill,mill,ø,ø,5,glose,Non, Non,,0,1,1,1,1,1,0,0
,ø,ø,ø,de,ø,de,ø,ø,5,glose,Non, Non,,0,0,0,2,0,2,0,0
,vale,ø,vale,vale,ø,vale,vale,ø,5,glose,Non, Non,,2,0,2,2,0,2,2,0
,ø,que,ø,ø,ø,ø,ø,ø,5,glose,Non, Non,,0,2,0,0,0,0,0,0
,a,ø,a,a,ø,a,a,ø,5,glose,Non, Non,,2,0,2,2,0,2,2,0
,se,ø,ø,ø,ø,ø,se,ø,5,glose,Non, Non,,2,0,0,0,0,0,2,0
,ø,se,ø,ø,se,ø,ø,ø,5,glose,Non, Non,,0,1,0,0,1,0,0,0
,a,a,a,a,ø,a,a,ø,5,glose,Non, Non,,2,2,2,2,0,2,2,0
,le,ø,le,le,le,le,le,ø,5,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,ø,ø,ø,la,ø,ø,5,glose,Non, Non,,0,0,0,0,0,2,0,0
,estar,ø,estar,estar,ø,estar,estar,ø,5,glose,Non, Non,,2,0,2,2,0,2,2,0
,ø,muy,ø,muy,ø,ø,ø,ø,5,glose,Non, Non,,0,2,0,2,0,0,0,0
,muy,ø,muy,ø,ø,muy,muy,ø,5,glose,Non, Non,,2,0,2,0,0,2,2,0
,ø,ø,ø,ø,ø,e,ø,ø,5,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,que,ø,ø,ø,5,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,le,ø,deman,ø,5,glose,Non, Non,,0,0,0,0,1,0,2,0
,ø,ø,ø,ø,ø,que,ø,ø,5,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,que,ø,ø,ø,5,glose,Non, Non,,0,0,0,0,1,0,0,0
,mandado,ø,mandado,demandando,le,mandado,mandado,ø,5,glose,Non, Non,,4,0,4,3,1,4,4,0
,ø,más,ø,ø,más,ø,ø,ø,5,glose,Non, Non,,0,1,0,0,1,0,0,0
,de,ø,ø,ø,ø,ø,ø,ø,6,,Non, Non,,2,0,0,0,0,0,0,0
,ø,ø,de,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,rala,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,Et,ø,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,2,0,0,0,0,0,0
,en,ø,en,en,ø,en,en,ø,6,traduction,Non, Non,,2,0,2,2,0,2,2,0
,se,se,ø,ø,ø,ø,se,ø,6,traduction,Non, Non,,2,2,0,0,0,0,2,0
,ø,ø,se,se,se,se,ø,ø,6,traduction,Non, Non,,0,0,1,1,1,1,0,0
,ø,el,el,el,el,el,el,ø,6,traduction,Non, Non,,0,1,1,1,1,1,1,0
,ø,dos,ø,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,2,0,0,0,0,0,0
,su,su,su,ø,su,ø,su,ø,6,traduction,Non, Non,,1,1,1,0,1,0,1,0
,bien,ø,ø,ø,ø,ø,bien,ø,6,traduction,Non, Non,,2,0,0,0,0,0,2,0
,en,en,ø,en,en,en,en,ø,6,traduction,Non, Non,,1,1,0,1,1,1,1,0
,ø,demuéstrenlos,ø,ø,demuéstrenlos,ø,ø,ø,6,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,alguno,ø,ø,alguno,ø,ø,ø,6,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,ø,ø,lo,ø,6,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,a,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,ø,ø,et,ø,ø,6,traduction,Non, Non,,0,0,0,0,0,2,0,0
,se,se,se,se,ø,se,se,ø,6,traduction,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,a,ø,a,ø,ø,6,traduction,Non, Non,,0,0,0,2,0,2,0,0
,a,ø,a,ø,ø,ø,a,ø,6,traduction,Non, Non,,2,0,2,0,0,0,2,0
,ø,a,a,a,a,a,ø,ø,6,traduction,Non, Non,,0,1,1,1,1,1,0,0
,ø,a,ø,a,a,a,ø,ø,6,traduction,Non, Non,,0,1,0,1,1,1,0,0
,que,que,que,que,ø,que,que,ø,6,traduction,Non, Non,,2,2,2,2,0,2,2,0
,cosa,cosa,cosa,cosa,ø,cosa,cosa,ø,6,traduction,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,ø,ø,mejor,ø,ø,6,traduction,Non, Non,,0,0,0,0,0,2,0,0
,el,ø,ø,ø,ø,ø,el,ø,6,traduction,Non, Non,,2,0,0,0,0,0,2,0
,e,e,e,e,e,ø,e,ø,6,traduction,Non, Non,,1,1,1,1,1,0,1,0
,esto,ø,esto,esto,esto,esto,esto,ø,6,traduction,Non, Non,,1,0,1,1,1,1,1,0
,que,que,que,que,ø,que,que,ø,6,traduction,Non, Non,,2,2,2,2,0,2,2,0
,algunos,algunos,ø,algunos,algunos,algunos,algunos,ø,6,traduction,Non, Non,,1,1,0,1,1,1,1,0
,o,o,o,o,o,ø,o,ø,6,traduction,Non, Non,,1,1,1,1,1,0,1,0
,muy,muy,ø,muy,muy,muy,muy,ø,6,traduction,Non, Non,,1,1,0,1,1,1,1,0
,bien,ø,en,ø,ø,ø,bien,ø,6,traduction,Non, Non,,1,0,3,0,0,0,1,0
,de,de,de,de,de,ø,de,ø,6,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,ø,asý,ø,ø,6,traduction,Non, Non,,0,0,0,0,0,2,0,0
,andar,andar,ø,andar,andar,andar,andar,ø,6,traduction,Non, Non,,1,1,0,1,1,1,1,0
,ø,los,ø,ø,los,a,ø,ø,6,traduction,Non, Non,,0,3,0,0,3,1,0,0
,ø,dellos,ø,ø,dellos,dellos,Lo,ø,6,traduction,Non, Non,,0,3,0,0,3,3,1,0
,ø,en,ø,ø,ø,ø,ø,ø,6,traduction,Non, Non,,0,2,0,0,0,0,0,0
,dar,dar,ø,dar,dar,dar,dar,ø,6,traduction,Non, Non,,1,1,0,1,1,1,1,0
,todas,ø,todas,todas,todas,todas,todas,ø,6,traduction,Non, Non,,1,0,1,1,1,1,1,0
,ø,Ca,Et,E,ca,ca,E,ø,6,traduction,Non, Non,,0,4,3,1,4,4,1,0
,Eel,el,ø,el,el,el,el,ø,6,traduction,Non, Non,,1,3,0,3,3,3,3,0
,ø,el,ø,ø,el,ø,ø,ø,6,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,el,el,el,el,el,el,ø,6,traduction,Non, Non,,0,1,1,1,1,1,1,0
,ø,es,ø,ø,es,ø,ø,ø,6,traduction,Non, Non,,0,1,0,0,1,0,0,0
,bien,bien,bien,bien,ø,bien,bien,ø,6,traduction,Non, Non,,2,2,2,2,0,2,2,0
,a,ø,a,a,ø,ø,a,ø,6,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,aquí,aquí,ø,aquí,aquí,ø,ø,6,glose,Non, Non,,0,1,1,0,1,1,0,0
,a,por,ø,a,para,e,a,ø,6,glose,Non, Non,,2,3,0,2,5,4,2,0
,ø,ø,ø,ø,ø,que,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,es,es,e,ø,es,es,es,ø,6,glose,Non, Non,,2,2,1,0,2,2,2,0
,ø,ø,ø,ø,dize,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,el,el,el,el,ø,el,el,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,non,ø,ø,ø,ø,ø,ø,ø,6,glose,Non, Non,,2,0,0,0,0,0,0,0
,ø,ellas,ø,ø,ellas,ø,ø,ø,6,glose,Non, Non,,0,1,0,0,1,0,0,0
,de,ø,de,de,de,de,de,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,ø,ø,ø,a,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,la,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,,0,1,1,1,1,1,1,0
,ø,ø,ø,iii°,ø,libro,ø,ø,6,glose,Non, Non,,0,0,0,3,0,1,0,0
,bien,bien,ø,bien,bien,bien,bien,ø,6,glose,Non, Non,,1,1,0,1,1,1,1,0
,e,e,ø,e,e,e,e,ø,6,glose,Non, Non,,1,1,0,1,1,1,1,0
,por,por,por,por,ø,por,porque,ø,6,glose,Non, Non,,2,2,2,2,0,2,3,0
,que,que,que,que,que,que,ø,ø,6,glose,Non, Non,,1,1,1,1,1,1,0,0
,ø,la,ø,la,la,la,ø,ø,6,glose,Non, Non,,0,1,0,1,1,1,0,0
,nuestro,ø,nuestro,nuestro,ø,ø,nuestro,ø,6,glose,Non, Non,,2,0,2,2,0,0,2,0
,de,ø,de,ø,de,ø,de,ø,6,glose,Non, Non,,1,0,1,0,1,0,1,0
,al,ø,al,ø,ø,ø,al,ø,6,glose,Non, Non,,2,0,2,0,0,0,2,0
,por,ø,por,por,por,por,por,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,podemos,podemos,podemos,podemos,podemos,ø,ø,6,glose,Non, Non,,0,1,1,1,1,1,0,0
,ø,ø,ø,ø,ø,sienpre,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,a,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,de,ø,ø,ø,ø,ø,6,glose,Non, Non,,0,0,2,0,0,0,0,0
,ø,escogidos,ø,ø,escogidos,ø,ø,ø,6,glose,Non, Non,,0,1,0,0,1,0,0,0
,escogidos,ø,escogidos,escogidos,ø,escogidos,escogidos,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,los,los,los,los,ø,los,los,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,que,que,que,que,ø,que,que,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,ø,e,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,al,capítulo,al,ø,capítulo,capítulo,al,ø,6,glose,Non, Non,,3,1,3,0,1,1,3,0
,ø,ø,ø,ø,esto,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,todos,ø,todos,todos,todos,todos,todos,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,otros,ø,ø,ø,ø,ø,ø,6,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,que,que,ø,que,que,que,ø,6,glose,Non, Non,,0,1,1,0,1,1,1,0
,se,se,se,se,se,ø,se,ø,6,glose,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,ø,omes,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,es,ø,ø,es,ø,ø,ø,6,glose,Non, Non,,0,1,0,0,1,0,0,0
,ser,ø,ser,ser,ø,ø,ser,ø,6,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,toda,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,toda,ø,toda,toda,ø,ø,toda,ø,6,glose,Non, Non,,2,0,2,2,0,0,2,0
,la,ø,la,la,la,la,la,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,todos,ø,ø,ø,ø,ø,6,glose,Non, Non,,0,0,2,0,0,0,0,0
,la,la,la,la,la,ø,la,ø,6,glose,Non, Non,,1,1,1,1,1,0,1,0
,su,ø,su,su,ø,su,su,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,ø,ø,ø,ø,ø,non,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,le,le,le,le,ø,le,le,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,ø,ø,e,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,las,las,ø,ø,6,glose,Non, Non,,0,0,0,0,1,1,0,0
,ø,ø,ø,ø,la,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,la,ø,ø,la,la,ø,ø,6,glose,Non, Non,,0,1,0,0,1,1,0,0
,le,le,le,le,le,ø,le,ø,6,glose,Non, Non,,1,1,1,1,1,0,1,0
,e,e,e,e,ø,e,e,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,ø,ø,ø,ø,ø,asý,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,que,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,para,ø,para,para,ø,para,para,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,su,ø,su,su,ø,ø,su,ø,6,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,la,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,que,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,son,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,más,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,,0,1,1,1,1,1,1,0
,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,,0,1,1,1,1,1,1,0
,ø,ø,ø,ø,forma,forma,ø,ø,6,glose,Non, Non,,0,0,0,0,1,1,0,0
,iḣu,Ihesú,ø,Jesú,Jhesú,Ihesú,Jesu,ø,6,glose,Non, Non,,1,2,0,2,2,2,2,0
,ø,ø,ø,ø,ø,de,ø,ø,6,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,juran,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,libro,libro,libro,libro,libro,ø,ø,ø,6,glose,Non, Non,,1,1,1,1,1,0,0,0
,al,ø,al,ø,ø,ø,al,ø,6,glose,Non, Non,,2,0,2,0,0,0,2,0
,ø,xi,ø,ø,xi,xi,ø,ø,6,glose,Non, Non,,0,1,0,0,1,1,0,0
,ø,él,él,él,qual,él,ø,ø,6,glose,Non, Non,,0,3,3,3,1,3,0,0
,el,ø,ø,el,el,ø,el,ø,6,glose,Non, Non,,1,0,0,1,1,0,1,0
,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,otros,otros,otros,otros,otros,otros,ø,ø,6,glose,Non, Non,,1,1,1,1,1,1,0,0
,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,,1,0,1,1,1,1,1,0
,ø,ø,ø,ø,su,ø,ø,ø,6,glose,Non, Non,,0,0,0,0,1,0,0,0
,le,ø,le,le,ø,le,le,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,de,ø,de,de,ø,de,de,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,lo,lo,lo,lo,ø,lo,lo,ø,6,glose,Non, Non,,2,2,2,2,0,2,2,0
,toda,ø,toda,toda,ø,toda,toda,ø,6,glose,Non, Non,,2,0,2,2,0,2,2,0
,ø,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ø,7,,Non, Non,,0,1,1,1,1,1,1,0
,ø,la,ø,ø,la,la,ø,ø,7,,Non, Non,,0,1,0,0,1,1,0,0
,muchas,ø,muchas,muchas,ø,ø,muchas,ø,7,,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,ocho,ø,ø,7,traduction,Non, Non,,0,0,0,0,0,2,0,0
,muchas,ø,muchas,muchas,ø,ø,muchas,ø,7,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,en,en,en,ø,en,ø,7,traduction,Non, Non,,0,0,1,1,1,0,1,0
,ø,otras,otras,ø,otras,ø,ø,ø,7,traduction,Non, Non,,0,1,1,0,1,0,0,0
,de,de,de,de,ø,de,de,ø,7,traduction,Non, Non,,2,2,2,2,0,2,2,0
,que,que,que,que,ø,que,que,ø,7,traduction,Non, Non,,2,2,2,2,0,2,2,0
,ø,el,onse,ø,del,ø,ø,ø,7,traduction,Non, Non,,0,4,1,0,2,0,0,0
,le,ø,le,le,ø,le,le,ø,7,traduction,Non, Non,,2,0,2,2,0,2,2,0
,ø,la,ø,ø,la,ø,ø,ø,7,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,se,se,ø,se,se,ø,ø,7,traduction,Non, Non,,0,1,1,0,1,1,0,0
,peso,peso,peso,peso,peso,ø,peso,ø,7,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,es,ø,ø,ø,7,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,a,ø,a,ø,ø,a,ø,7,traduction,Non, Non,,0,2,0,2,0,0,2,0
,e,e,e,e,e,ø,e,ø,7,traduction,Non, Non,,1,1,1,1,1,0,1,0
,a,a,ø,a,a,por,a,ø,7,traduction,Non, Non,,1,1,0,1,1,3,1,0
,ø,ø,e,ø,ø,ø,ø,ø,7,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,arma,ø,ø,ø,ø,ø,7,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,ø,ø,muy,ø,ø,7,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,buenos,ø,ø,buenos,ø,ø,ø,7,traduction,Non, Non,,0,1,0,0,1,0,0,0
,a,a,a,a,ø,a,a,ø,7,traduction,Non, Non,,2,2,2,2,0,2,2,0
,las,ø,las,las,ø,ø,las,ø,7,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,los,los,ø,ø,ø,ø,7,traduction,Non, Non,,0,0,2,2,0,0,0,0
,a,ø,a,ø,ø,a,a,ø,7,traduction,Non, Non,,2,0,2,0,0,2,2,0
,las,ø,las,las,las,las,las,ø,7,traduction,Non, Non,,1,0,1,1,1,1,1,0
,avn,ø,ø,aún,ø,ø,avn,ø,7,traduction,Non, Non,,3,0,0,1,0,0,3,0
,las,las,las,las,las,ø,las,ø,7,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,ø,quando,ø,ø,7,traduction,Non, Non,,0,0,0,0,0,2,0,0
,la,ø,la,la,la,la,la,ø,7,traduction,Non, Non,,1,0,1,1,1,1,1,0
,non,ø,non,non,ø,non,ø,ø,7,traduction,Non, Non,,2,0,2,2,0,2,0,0
,a,ø,ø,ø,ø,ø,a,ø,7,traduction,Non, Non,,2,0,0,0,0,0,2,0
,a,a,a,ø,ø,a,a,ø,7,traduction,Non, Non,,2,2,2,0,0,2,2,0
,ø,fustes,ø,ø,fustes,ø,ø,ø,7,traduction,Non, Non,,0,1,0,0,1,0,0,0
,muy,muy,muy,muy,muy,ø,muy,ø,7,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,ø,mucho,ø,ø,7,traduction,Non, Non,,0,0,0,0,0,2,0,0
,de,de,ø,de,de,de,de,ø,7,traduction,Non, Non,,1,1,0,1,1,1,1,0
,ø,ø,ø,ø,ø,son,ø,ø,7,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,mejor,ø,ø,ø,mejor,ø,ø,7,traduction,Non, Non,,0,2,0,0,0,2,0,0
,o,ø,ø,o,ø,o,o,ø,7,traduction,Non, Non,,2,0,0,2,0,2,2,0
,ø,armados,ø,ø,armados,puedan,ø,ø,7,traduction,Non, Non,,0,1,0,0,1,3,0,0
,el,el,el,el,el,ø,el,ø,7,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,el,el,el,el,el,el,ø,7,traduction,Non, Non,,0,1,1,1,1,1,1,0
,ø,en,en,en,en,en,en,ø,7,traduction,Non, Non,,0,1,1,1,1,1,1,0
,ø,las,ø,ø,ø,las,ø,ø,7,traduction,Non, Non,,0,2,0,0,0,2,0,0
,ø,ø,el,el,ø,ø,el,ø,7,traduction,Non, Non,,0,0,2,2,0,0,2,0
