,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,de,de,de,de,ø,de,de,de,2,traduction,Non, Non,,2,2,2,2,0,2,2,2
,los,ø,los,los,ø,ø,los,ø,2,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,se,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,Et,ø,ø,2,traduction,Non, Non,,0,0,0,0,0,2,0,0
,es,es,es,ø,es,es,es,es,2,traduction,Non, Non,,1,1,1,0,1,1,1,1
,muy,ø,muy,muy,muy,muy,muy,muy,2,traduction,Non, Non,,1,0,1,1,1,1,1,1
,e,e,ø,e,e,e,e,e,2,traduction,Non, Non,,1,1,0,1,1,1,1,1
,ø,es,es,ø,es,ø,ø,ø,2,traduction,Non, Non,,0,1,1,0,1,0,0,0
,ø,muy,ø,ø,muy,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,E,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,e,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,muy,ø,ø,ø,ø,ø,2,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,su,ø,ø,su,su,ø,su,2,traduction,Non, Non,,0,1,0,0,1,1,0,1
,ø,ø,ø,ø,ø,ø,todos,ø,2,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,otros,ø,2,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,tan,ø,2,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,e,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,el,el,el,el,el,el,el,2,traduction,Non, Non,,0,1,1,1,1,1,1,1
,ø,muy,ø,ø,muy,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,se,se,se,se,ø,se,se,se,2,traduction,Non, Non,,2,2,2,2,0,2,2,2
,la,el,la,la,el,ø,la,que,2,traduction,Non, Non,,3,4,3,3,4,0,3,1
,ø,ø,ø,ø,ø,ofiçios,ø,ofiçios,2,traduction,Non, Non,,0,0,0,0,0,2,0,2
,ø,a,ø,ø,a,a,ø,a,2,traduction,Non, Non,,0,1,0,0,1,1,0,1
,ø,estos,ø,ø,estos,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,a,ø,ø,ø,ø,ø,2,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,ø,ø,agujas,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,tales,ø,ø,ø,2,traduction,Non, Non,,0,0,0,0,1,0,0,0
,de,de,ø,de,de,de,de,de,2,traduction,Non, Non,,1,1,0,1,1,1,1,1
,son,son,son,ø,son,son,son,son,2,traduction,Non, Non,,1,1,1,0,1,1,1,1
,ø,non,ø,ø,non,ø,ø,ø,2,traduction,Non, Non,,0,1,0,0,1,0,0,0
,la,la,la,la,la,la,la,ø,2,traduction,Non, Non,,1,1,1,1,1,1,1,0
,ø,ø,ø,ø,ø,ø,ø,en,2,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,ø,a,a,ø,2,traduction,Non, Non,,0,0,0,0,0,2,2,0
,la,ø,ø,la,la,ø,la,ø,2,traduction,Non, Non,,1,0,0,1,1,0,1,0
,ø,los,ø,ø,los,ø,ø,los,2,traduction,Non, Non,,0,1,0,0,1,0,0,1
,ø,los,ø,ø,los,ø,los,ø,2,traduction,Non, Non,,0,1,0,0,1,0,1,0
,ø,ø,ø,ø,ø,ø,los,ø,2,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,los,ø,2,traduction,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,la,ø,ø,ø,ø,ø,2,traduction,Non, Non,,0,0,2,0,0,0,0,0
,la,ø,la,la,ø,ø,la,la,2,traduction,Non, Non,,2,0,2,2,0,0,2,2
,ø,ø,ø,ø,saber,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,ø,primeramente,ø,primeramente,2,glose,Non, Non,,0,0,0,0,0,2,0,2
,primeramente,primeramente,prymeramente,primeramente,primeramente,ø,primeramente,ø,2,glose,Non, Non,,2,2,1,2,2,0,2,0
,ø,ø,ø,ø,ø,de,ø,ø,2,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,e,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,en,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,que,que,que,que,que,ø,que,que,2,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,Anibal,ø,ø,ø,ø,2,glose,Non, Non,,0,0,0,2,0,0,0,0
,a,a,ø,a,a,a,a,a,2,glose,Non, Non,,1,1,0,1,1,1,1,1
,por,ø,por,por,ø,por,por,por,2,glose,Non, Non,,2,0,2,2,0,2,2,2
,ø,ø,ø,le,le,le,ø,le,2,glose,Non, Non,,0,0,0,1,1,1,0,1
,ø,el,el,ø,el,ø,ø,el,2,glose,Non, Non,,0,1,1,0,1,0,0,1
,ø,ø,ø,ø,ø,ø,fuertemente,ø,2,glose,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,e,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,ø,ø,ø,ø,syenpre,2,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,el,el,el,el,el,el,el,2,glose,Non, Non,,0,1,1,1,1,1,1,1
,libro,libro,ø,,libro,libro,libro,libro,2,glose,Non, Non,,1,1,0,1,1,1,1,1
,rezios,ø,rezios,rezios,de,rrezios,rezios,rezios,2,glose,Non, Non,,3,0,3,3,1,3,3,3
